1;Preface;5;86.01703
1;The way of the program;23;86.01703
2;What is a program?;23;482.922
2;Running Python;24;192.91303
2;The first program;25;86.01703
2;Arithmetic operators;25;329.91
2;Values and types;26;86.01703
2;Formal and natural languages;26;533.20999
2;Debugging;28;175.995
2;Glossary;28;486.809
2;Exercises;29;461.742
1;Variables, expressions and statements;31;86.01703
2;Assignment statements;31;352.101
2;Variable names;31;551.169
2;Expressions and statements;32;463.545
2;Script mode;33;158.331
2;Order of operations;33;628.706
2;String operations;34;326.743
2;Comments;34;625.45
2;Debugging;35;366.759
2;Glossary;36;86.01703
2;Exercises;36;614.13
1;Functions;39;86.01703
2;Function calls;39;337.727
2;Math functions;40;170.85797
2;Composition;41;86.01703
2;Adding new functions;41;312.706
2;Definitions and uses;42;470.151
2;Flow of execution;43;190.922
2;Parameters and arguments;43;508.107
2;Variables and parameters are local;44;474.736
2;Stack diagrams;45;310.9
2;Fruitful functions and void functions;46;174.104
2;Why functions?;46;637.197
2;Debugging;47;225.51502
2;Glossary;47;555.554
2;Exercises;48;567.402
1;Case study: interface design;51;86.01703
2;The turtle module;51;464.218
2;Simple repetition;52;449.192
2;Exercises;53;356.695
2;Encapsulation;54;86.01703
2;Generalization;54;404.324
2;Interface design;55;288.112
2;Refactoring;56;223.00897
2;A development plan;57;227.42401
2;docstring;57;518.20498
2;Debugging;58;196.23297
2;Glossary;58;452.44
2;Exercises;59;395.806
1;Conditionals and recursion;61;86.01703
2;Floor division and modulus;61;341.719
2;Boolean expressions;62;171.00299
2;Logical operators;62;526.345
2;Conditional execution;63;160.66199
2;Alternative execution;63;440.141
2;Chained conditionals;63;635.018
2;Nested conditionals;64;331.185
2;Recursion;65;141.40302
2;Stack diagrams for recursive functions;66;375.423
2;Infinite recursion;66;629.533
2;Keyboard input;67;323.698
2;Debugging;68;189.63898
2;Glossary;69;86.01703
2;Exercises;69;554.708
1;Fruitful functions;73;86.01703
2;Return values;73;359.253
2;Incremental development;74;432.689
2;Composition;76;244.43103
2;Boolean functions;76;571.648
2;More recursion;77;377.241
2;Leap of faith;79;251.393
2;One more example;79;549.681
2;Checking types;80;227.44098
2;Debugging;81;211.52899
2;Glossary;82;266.612
2;Exercises;82;475.171
1;Iteration;85;86.01703
2;Reassignment;85;358.585
2;Updating variables;86;303.563
2;The while statement;86;558.68899
2;break;88;124.15698
2;Square roots;88;480.505
2;Algorithms;89;640.873
2;Debugging;90;350.144
2;Glossary;90;656.307
2;Exercises;91;257.64399
1;Strings;93;86.01703
2;A string is a sequence;93;340.716
2;len;94;142.893
2;Traversal with a for loop;94;416.148
2;String slices;95;483.338
2;Strings are immutable;96;267.21003
2;Searching;96;556.03506
2;Looping and counting;97;276.67903
2;String methods;97;535.98
